"DATE","TIME","ABONDANCE","CI_up","CI_low"
2012-01-16,0,1.17375020966062,0.70863807552182,-1.51891682453546
2012-01-17,1,1.30209177063452,0.797768775294571,-1.34875930411609
2012-01-18,2,1.42354550126595,0.883514307438187,-1.18762488927885
2012-01-19,3,1.53831778849235,0.966121739462515,-1.03499342085712
2012-01-20,4,1.6466117318252,1.04584126169483,-0.890365584270791
2012-01-21,5,1.74862719132113,1.12292221136332,-0.753264499476815
2012-01-22,6,1.84456084119334,1.19760924495132,-0.623237213567834
2012-01-23,7,1.93460622827361,1.27013869748651,-0.49985605596995
2012-01-24,8,2.01895383453,1.34073516902585,-0.382719819984544
2012-01-25,9,2.09779114284006,1.40960837978756,-0.271454738928038
2012-01-26,10,2.17130270521837,1.4769503358882,-0.165715230263344
2012-01-27,11,2.23967021269651,1.54293284723186,-0.0651843866262052
2012-01-28,12,2.30307256605664,1.50709456086944,0.131036678296486
2012-01-29,13,2.36168594662444,1.57252168518576,0.220246500490308
2012-01-30,14,2.4156838863347,1.63674502356014,0.305245371359782
2012-01-31,15,2.46523733629354,1.69984732254801,0.386227899751176
2012-02-01,16,2.51051473307441,1.76188520096275,0.463361778591593
2012-02-02,17,2.55168206200261,1.82288950924704,0.536788909319322
2012-02-03,18,2.58890291670375,1.88286618377858,0.606626809567915
2012-02-04,19,2.62233855421665,1.94179758340162,0.672970294462049
2012-02-05,20,2.6521479450015,1.99964428543644,0.735893419721669
2012-02-06,21,2.67848781720809,2.05634730908622,0.795451672441236
2012-02-07,22,2.70151269460988,2.11183072597341,0.851684392673594
2012-02-08,23,2.72137492765464,2.16600461080325,0.904617405656584
2012-02-09,24,2.73822471713478,2.21876827999361,0.954265840622189
2012-02-10,25,2.75221013003789,2.2700137624631,1.00063710767022
2012-02-11,26,2.7634771072024,2.27232794949615,1.09103549418369
2012-02-12,27,2.77216946247352,2.31990387560611,1.13115783058625
2012-02-13,28,2.77842887313146,2.3655782547712,1.16806299640299
2012-02-14,29,2.78239486144636,2.40925525646506,1.20175517105668
2012-02-15,30,2.7842047673025,2.45085039444402,1.23224683831695
2012-02-16,31,2.78399371192771,2.49029410096943,1.25956184577326
2012-02-17,32,2.78189455286113,2.52753509424219,1.28373827669586
2012-02-18,33,2.77803783039361,2.56254346459065,1.30483106390989
2012-02-19,34,2.77255170581783,2.59531339917607,1.3229142704179
2012-02-20,35,2.76556189192964,2.62586545883648,1.33808295714167
2012-02-21,36,2.75719157632597,2.65424831506002,1.35045455487637
2012-02-22,37,2.74756133814626,2.68053985119758,1.36016965619402
2012-02-23,38,2.73678905900291,2.70484753146225,1.36739214471921
2012-02-24,39,2.72498982893883,2.72730794582401,1.37230858527238
2012-02-25,40,2.71227584833626,2.74808545047157,1.37512681028797
2012-02-26,41,2.69875632677711,2.76736984377756,1.37607365701855
2012-02-27,42,2.68453737992156,2.78537304786773,1.37539183731776
2012-02-28,43,2.66972192552468,2.80232480629047,1.37333595754694
2012-02-29,44,2.65440957975024,2.81846745802968,1.37016774966135
2012-03-01,45,2.63869655496517,2.83404990484476,1.36615062383167
2012-03-02,46,2.62267556020518,2.84932094874747,1.36154370472307
2012-03-03,47,2.60643570549294,2.86452223404037,1.35659556323415
2012-03-04,48,2.5900624111621,2.87988107753838,1.35153789769797
2012-03-05,49,2.57363732329538,2.89560350499514,1.34657944768576
2012-03-06,50,2.55723823632202,2.91186782575839,1.34190043468894
2012-03-07,51,2.5409390237396,2.92881906743693,1.33764781367621
