"DATE","TIME","NH4","CI_up","CI_low"
2011-09-06,0,-0.0249399568539104,-0.0306331083298716,-0.106664395338959
2011-09-07,1,-0.0231539871473652,-0.0280499356896533,-0.102954329859174
2011-09-08,2,-0.0211958175283552,-0.0277309967172107,-0.0961187876822368
2011-09-09,3,-0.0190716457698791,-0.0241691071082173,-0.0916736050798758
2011-09-10,4,-0.0167878206040664,-0.0201498197949647,-0.0868495863852446
2011-09-11,5,-0.0143508362869308,-0.0156856634761389,-0.0816587219920564
2011-09-12,6,-0.0117673267606286,-0.0107932111821179,-0.0761173478940571
2011-09-13,7,-0.00904405939888569,-0.00549308395629657,-0.0702461207431115
2011-09-14,8,-0.00618792832247278,0.000190171317221738,-0.0640698597801384
2011-09-15,9,-0.00320594727303762,0.00469253186413691,-0.0560814601955895
2011-09-16,10,-0.000105242035335744,0.011062115070565,-0.0493927313007348
2011-09-17,11,0.00310695760015711,0.0177187497255329,-0.0424929754953687
2011-09-18,12,0.00642332634000331,0.0246257372952487,-0.0354195802626996
2011-09-19,13,0.0098364523592048,0.0317447053631336,-0.0282115712177943
2011-09-20,14,0.0133388467417121,0.0390362662495508,-0.0209088911003872
2011-09-21,15,0.0169229533875,0.0464606881383907,-0.0135516670373277
2011-09-22,16,0.0205811593803514,0.0529670198302013,-0.00516796230368049
2011-09-23,17,0.0243058058069838,0.060536070515463,0.00218453375496998
2011-09-24,18,0.0280891990143889,0.0681217647079499,0.0094783107685471
2011-09-25,19,0.0319236222883295,0.0756890800678279,0.0166790907113051
2011-09-26,20,0.0358013479318217,0.0832053476771318,0.023755320653907
2011-09-27,21,0.0397146497182005,0.0906405315948907,0.0306784693232582
2011-09-28,22,0.0436558156890404,0.0979674012413858,0.0374232062237193
2011-09-29,23,0.0476171612628233,0.105161597981779,0.0439674650766237
2011-09-30,24,0.0515910426158923,0.111434223329907,0.0510597772927536
2011-10-01,25,0.0555698702928994,0.118291598274693,0.0571592478116803
2011-10-02,26,0.059546122999779,0.1249589645138,0.0630114313841583
2011-10-03,27,0.0635123615282401,0.131422343898186,0.068605926968952
2011-10-04,28,0.0674612427569979,0.137669723767206,0.0739345596478169
2011-10-05,29,0.0713855336714803,0.143690734317501,0.078991022135153
2011-10-06,30,0.0752781253406257,0.14947632088563,0.083770510533446
2011-10-07,31,0.0791320467867059,0.155018428258195,0.0882693724756624
2011-10-08,32,0.0829404786819113,0.160309712456782,0.0924847838998483
2011-10-09,33,0.0866967668037829,0.165343293304004,0.0964144683311155
2011-10-10,34,0.0903944351805358,0.170112558625917,0.100056469883223
2011-10-11,35,0.0940271988569101,0.173934101136241,0.104085915613997
2011-10-12,36,0.0975889762114882,0.178144328980605,0.107158237564312
2011-10-13,37,0.101073900757408,0.18207089550982,0.109937715096528
2011-10-14,38,0.104476332360161,0.185707613873815,0.112422673412353
2011-10-15,39,0.107790867808663,0.189048560297614,0.114611631636956
2011-10-16,40,0.111012350679019,0.192088274925888,0.116503485091729
2011-10-17,41,0.114135880434415,0.194822022905076,0.118097749248971
2011-10-18,42,0.117156820709232,0.197246109284977,0.119394858823109
2011-10-19,43,0.120070806730895,0.199358239719122,0.120396513912505
2011-10-20,44,0.122873751838916,0.201157917184147,0.121106063420573
2011-10-21,45,0.125561853067191,0.202646862878199,0.121528914004222
2011-10-22,46,0.128131595762645,0.203829446970785,0.121672950388144
2011-10-23,47,0.130579757220762,0.204713111885159,0.121548949961042
2011-10-24,48,0.132903409326343,0.205308767312927,0.121170971138581
2011-10-25,49,0.135099920195783,0.205631132337111,0.120556691175664
2011-10-26,50,0.137166954825296,0.205698996202218,0.119727665254502
2011-10-27,51,0.13910247475759,0.204882522252595,0.119362319003282
2011-10-28,52,0.140904736787503,0.204508534290823,0.118190667707372
2011-10-29,53,0.142572290734894,0.203961895015948,0.116892585332381
2011-10-30,54,0.144103976320518,0.203277532612282,0.115505006847877
2011-10-31,55,0.145498919187648,0.202493399421968,0.114067734699697
2011-11-01,56,0.146756526118702,0.201649606352003,0.11262258550046
2011-11-02,57,0.147876479502012,0.200787322513922,0.111212301869067
2011-11-03,58,0.148858731109048,0.1999474693382,0.109879257377957
2011-11-04,59,0.149703495246841,0.199169261953603,0.108664006074125
2011-11-05,60,0.15041124135393,0.198488673351698,0.107603750894423
2011-11-06,61,0.150982686110912,0.19793691522084,0.106730823968256
2011-11-07,62,0.151418785138475,0.197539039743508,0.106071282690024
2011-11-08,63,0.151720724356774,0.197312766264799,0.105643725660944
2011-11-09,64,0.151889911079963,0.197267624240419,0.105458420748412
2011-11-10,65,0.151927964918852,0.197404479989038,0.105516814221558
2011-11-11,66,0.15183670856289,0.197715482350423,0.105811457940253
2011-11-12,67,0.151618158510052,0.198184425881171,0.106326355318396
2011-11-13,68,0.15127451580986,0.198787494940995,0.107037691450517
2011-11-14,69,0.150808156880623,0.19949432281388,0.107914883272915
2011-11-15,70,0.15022162445723,0.200269280409285,0.108921865520138
2011-11-16,71,0.149517618720468,0.201072900698823,0.110018519219265
2011-11-17,72,0.148698988653,0.201863347435402,0.11116215120549
2011-11-18,73,0.147768723660867,0.202597847797313,0.112308943652684
2011-11-19,74,0.146729945492833,0.203234025347882,0.113415308904042
2011-11-20,75,0.145585900483058,0.204412725539615,0.113757466998126
2011-11-21,76,0.144339952135715,0.204728046172591,0.114663480201973
2011-11-22,77,0.142995574063175,0.204830912152581,0.11541138396444
2011-11-23,78,0.141556343282501,0.204690695189621,0.115968917005626
2011-11-24,79,0.140025933868277,0.204281365541587,0.116308383265227
