"DATE","TIME","DIFFUSION","CI_up","CI_low"
2012-01-16,0,0.0521310602846367,0.0541407912152459,0.0430807366075009
2012-01-17,1,0.0525530532183556,0.0529196271974683,0.0450524474042241
2012-01-18,2,0.052963405841701,0.0531411884418092,0.0455665450592553
2012-01-19,3,0.053362595974562,0.0533664173094609,0.0460644861916271
2012-01-20,4,0.0537510889530063,0.0535960314881541,0.0465479165136831
2012-01-21,5,0.0541293376906705,0.0538307500447164,0.0470184169230868
2012-01-22,6,0.0544977827565003,0.0540712757704521,0.0474774930019525
2012-01-23,7,0.0548568524669577,0.0543182776787765,0.0479265646934909
2012-01-24,8,0.0552069629908686,0.0545723739959733,0.0483669564464641
2012-01-25,9,0.0555485184651363,0.0548341159888878,0.0487998881018207
2012-01-26,10,0.0558819111196179,0.055103972969409,0.0492264667738088
2012-01-27,11,0.0562075214095262,0.0553823188044162,0.0496476799511208
2012-01-28,12,0.0565257181538076,0.0556694202411699,0.0500643900138892
2012-01-29,13,0.0568368586780269,0.0559654273315829,0.0504773303312154
2012-01-30,14,0.0571412889603858,0.055926980789104,0.0512304884879812
2012-01-31,15,0.0574393437795981,0.0562467008421142,0.0516316123869845
2012-02-01,16,0.0577313468634472,0.0565743185348687,0.0520310785068212
2012-02-02,17,0.0580176110369633,0.0569095079173683,0.0524290640219052
2012-02-03,18,0.0582984383692649,0.0572518173415862,0.0528256246266814
2012-02-04,19,0.05857412031823,0.0576006760459358,0.0532207018491961
2012-02-05,20,0.0588449378722791,0.0579554034264903,0.0536141323263239
2012-02-06,21,0.0591111616886776,0.058315220846563,0.0540056589601705
2012-02-07,22,0.059373052227888,0.058679265775333,0.0543949438333096
2012-02-08,23,0.0596308598836298,0.0590466079879623,0.0547815827134293
2012-02-09,24,0.0598848251084327,0.0594162675046291,0.0551651209258758
2012-02-10,25,0.0601351785345953,0.0597872338943529,0.0555450703164395
2012-02-11,26,0.0603821410905879,0.0601584865214404,0.0559209269682002
2012-02-12,27,0.0606259241130625,0.0605290152679691,0.0562921892776479
2012-02-13,28,0.0608667294547528,0.0607406707876593,0.0568155463771965
2012-02-14,29,0.0611047495886636,0.0611066614277394,0.057176418724968
2012-02-15,30,0.0613401677090583,0.0614690746553482,0.0575314719145126
2012-02-16,31,0.0615731578298556,0.0618271573666186,0.0578803681706745
2012-02-17,32,0.0618038848811416,0.0621802581113588,0.0582228513296171
2012-02-18,33,0.0620325048045823,0.0625278389990537,0.0585587563951617
2012-02-19,34,0.0622591646485977,0.0628694841477061,0.0588880157447877
2012-02-20,35,0.062484002664211,0.0632049041907201,0.0592106615414989
2012-02-21,36,0.062707148402534,0.0635339364532954,0.0595268240160898
2012-02-22,37,0.0629287228148722,0.0638565405431978,0.0598367254295298
2012-02-23,38,0.0631488383564464,0.064172789273204,0.0601406697070941
2012-02-24,39,0.0633675990947173,0.0644828550427548,0.0604390279512345
2012-02-25,40,0.0635851008232733,0.0647869920489397,0.0607322202817666
2012-02-26,41,0.0638014311821988,0.0650855149612715,0.0610206947077716
2012-02-27,42,0.0640166697857729,0.0653787749644269,0.0613049039886098
2012-02-28,43,0.0642308883582706,0.0656671343262591,0.0615852816698174
2012-02-29,44,0.0644441508785348,0.0659509408584442,0.0618622186579909
2012-03-01,45,0.0646565137338786,0.0662305037752904,0.0621360418003398
2012-03-02,46,0.0648680258837391,0.0665060724948574,0.0624069959346143
2012-03-03,47,0.0650787290333703,0.0667778198434033,0.0626752307549164
2012-03-04,48,0.0652886578177033,0.0670458309073068,0.0629407935902085
2012-03-05,49,0.0654978399953451,0.0673100984284983,0.0632036288211759
2012-03-06,50,0.0657062966525217,0.067570525179739,0.0634635841900428
2012-03-07,51,0.0659140424166033,0.0678269332219846,0.0637204237259847
2012-03-08,52,0.0661210856786846,0.0680790793892288,0.0639738464681064
2012-03-09,53,0.0663274288245318,0.0683266758268835,0.0642235096778076
2012-03-10,54,0.0665330684730565,0.0685694139880907,0.0644690548505181
2012-03-11,55,0.0667379957213294,0.0688069902191247,0.0647101346104089
2012-03-12,56,0.0669421963950244,0.0690391309729396,0.0649464385291256
2012-03-13,57,0.0671456513030662,0.0692656157878958,0.0651777160551768
2012-03-14,58,0.0673483364951618,0.0694862964403445,0.0654037950536092
2012-03-15,59,0.067550223520822,0.0697011110862429,0.0656245948936795
2012-03-16,60,0.0677512796884295,0.0699100926939273,0.0658401335286684
2012-03-17,61,0.0679514683228758,0.070113371576841,0.0660505285251488
2012-03-18,62,0.0681507490202861,0.07031117230396,0.0662559924619868
2012-03-19,63,0.0683490778983689,0.0704064560518319,0.0665541730867148
2012-03-20,64,0.0685464078409629,0.0705945166295885,0.0667505319684089
2012-03-21,65,0.0687426887354193,0.0707782508557254,0.0669430432041749
2012-03-22,66,0.0689378677015361,0.0709581445299787,0.0671321731989517
2012-03-23,67,0.0691318893108656,0.0711347079943382,0.0673184096180238
2012-03-24,68,0.069324695795331,0.0713084586015624,0.0675022439784312
2012-03-25,69,0.0695162272442251,0.0714799040129849,0.0676841553568494
2012-03-26,70,0.0697064217888085,0.0716495268455305,0.0678645956912444
2012-03-27,71,0.0698952157738841,0.0718177710062623,0.0680439769653613
2012-03-28,72,0.070082543915889,0.0719850299023915,0.068222660413253
2012-03-29,73,0.07026833944722,0.0721516366060574,0.0684009477750677
2012-03-30,74,0.0704525342466858,0.0723178559896466,0.068579074577238
2012-03-31,75,0.0706350589561573,0.0724838788259027,0.0687572053956734
2012-04-01,76,0.0708158430836701,0.0726498178593865,0.0689354310801525
