"DATE","TIME","NO3","CI_up","CI_low"
2016-11-21,1820,0.354555435778611,0.454194374462296,0.276323239806799
2016-11-22,1821,0.356998404099647,0.457603478738029,0.279411916139908
2016-11-23,1822,0.35953611395378,0.460903068106895,0.282485128985533
2016-11-24,1823,0.362173237135898,0.464075531093987,0.285533263810492
2016-11-25,1824,0.364914391196516,0.467108685211901,0.288550214795432
2016-11-26,1825,0.3677641183331,0.469996497354025,0.291533758859253
2016-11-27,1826,0.370726864529145,0.47273972937384,0.294485867243996
2016-11-28,1827,0.373806959023189,0.475346467972431,0.297412931007538
2016-11-29,1828,0.37700859417809,0.477832481586795,0.300325869173062
2016-11-30,1829,0.380335805810378,0.480221332604988,0.303240082230805
2016-12-01,1830,0.383792454030332,0.48254416458697,0.306175210764867
2016-12-02,1831,0.387382204635883,0.48483908591487,0.309154661406487
2016-12-03,1832,0.391108511097422,0.487150088380056,0.312204872700027
2016-12-04,1833,0.394974597166166,0.489525475352661,0.315354314053347
2016-12-05,1834,0.39898344013577,0.492015829746494,0.318632242368103
2016-12-06,1835,0.403137754785176,0.494671621924267,0.322067280784846
2016-12-07,1836,0.407439978030197,0.49754063047742,0.32568592577387
2016-12-08,1837,0.411892254311781,0.500665407771395,0.329511122453919
2016-12-09,1838,0.416496421749953,0.504081049478979,0.333561062156215
2016-12-10,1839,0.4212539990942,0.507813510235627,0.337848342276348
2016-12-11,1840,0.426166173502793,0.511878644035094,0.342379584753749
2016-12-12,1841,0.431233789185638,0.516282049367345,0.347155543605212
2016-12-13,1842,0.43645733694693,0.521019687441978,0.352171658956799
2016-12-14,1843,0.441836944665358,0.526079142792727,0.357418952758098
2016-12-15,1844,0.447372368750601,0.531441329764222,0.362885123996708
2016-12-16,1845,0.453062986615066,0.537082425276963,0.368555694715256
2016-12-17,1846,0.458907790199534,0.54297582474799,0.374415079238153
2016-12-18,1847,0.464905380589956,0.549093961823389,0.380447487904308
2016-12-19,1848,0.471053963760709,0.555409887918637,0.386637621209199
2016-12-20,1849,0.477351347476415,0.561898560606626,0.392971150286439
2016-12-21,1850,0.483794939380706,0.568537831755043,0.399435008810191
2016-12-22,1851,0.490381746295429,0.575309153604712,0.40601753764605
2016-12-23,1852,0.497108374748283,0.582198034540715,0.412708528095103
2016-12-24,1853,0.50397103274062,0.58919427927521,0.419499205233404
2016-12-25,1854,0.510965532760179,0.596292044246887,0.426382182910399
2016-12-26,1855,0.518087296036169,0.603489731465294,0.433351409290214
2016-12-27,1856,0.525331358026206,0.610789735133002,0.440402108539659
2016-12-28,1857,0.532692375116689,0.618198046764669,0.447530711861692
2016-12-29,1858,0.540164632509815,0.62572371743014,0.454734760586587
2016-12-30,1859,0.547742053262477,0.633378171471884,0.462012756364989
2016-12-31,1860,0.555418208434173,0.641174366178258,0.469363929640049
2017-01-01,1861,0.563186328293378,0.649125798274267,0.476787898658279
2017-01-02,1862,0.571039314524715,0.657245372369204,0.484284198481208
2017-01-03,1863,0.578969753372425,0.665544169305978,0.491851673569312
2017-01-04,1864,0.586969929649829,0.674030182247588,0.499487748311543
2017-01-05,1865,0.595031841539096,0.682707120870142,0.50718761550015
2017-01-06,1866,0.603147216101435,0.691573411543488,0.514943409322112
2017-01-07,1867,0.611307525414308,0.700621534034135,0.522743451348313
2017-01-08,1868,0.619504003249807,0.709837823669714,0.530571669053921
2017-01-09,1869,0.627727662206997,0.719202826827272,0.538407281633636
2017-01-10,1870,0.635969311210407,0.728692229455608,0.546224825451172
2017-01-11,1871,0.644219573287623,0.738278294563064,0.553994553830899
2017-01-12,1872,0.652468903540259,0.747931663606469,0.56168319954088
2017-01-13,1873,0.660707607225279,0.757623318429668,0.569255042082801
2017-01-14,1874,0.668925857866819,0.767326479420031,0.576673184566542
2017-01-15,1875,0.677113715322951,0.777018235975761,0.583900922909702
2017-01-16,1876,0.685261143736698,0.786680759703501,0.590903086036943
2017-01-17,1877,0.693358029306112,0.796302023265537,0.597647238436821
2017-01-18,1878,0.701394197814446,0.80587602050356,0.604104661594688
2017-01-19,1879,0.709359431867809,0.81540254193889,0.610251062574955
2017-01-20,1880,0.717243487794786,0.824886596364057,0.616066990416312
2017-01-21,1881,0.725036112169386,0.834337583397227,0.621537969239491
2017-01-22,1882,0.73272705792615,0.84376831796333,0.626654378126262
2017-01-23,1883,0.740306100043301,0.853193992274575,0.631411120945128
2017-01-24,1884,0.747763050777182,0.862631140420898,0.635807134985326
2017-01-25,1885,0.755087774438119,0.872096650038378,0.639844787086466
2017-01-26,1886,0.762270201704638,0.881606847694742,0.643529201834081
2017-01-27,1887,0.769300343479436,0.89117667096672,0.646867560142215
2017-01-28,1888,0.776168304296358,0.900818930903919,0.649868399620044
2017-01-29,1889,0.782864295293325,0.910543663269132,0.652540941550264
2017-01-30,1890,0.789378646770945,0.920357564941649,0.654894463725351
2017-01-31,1891,0.795701820361048,0.930263512435671,0.656937734099957
2017-02-01,1892,0.801824420833063,0.940260161900089,0.658678517268252
2017-02-02,1893,0.807737207569217,0.950341633515548,0.660123163994095
2017-02-03,1894,0.813431105742001,0.960497287143919,0.661276293055574
2017-02-04,1895,0.81889721722891,0.970711599607766,0.662140574008259
2017-02-05,1896,0.824126831300549,0.980964156233401,0.662716618519008
2017-02-06,1897,0.829111435118347,0.991229769462092,0.663002986057244
2017-02-07,1898,0.83384272407775,1.00147873477243,0.662996306445216
2017-02-08,1899,0.83831261203156,1.01167722856003,0.662691516804598
2017-02-09,1900,0.842513241426311,1.02178784420108,0.662082203913015
2017-02-10,1901,0.846436993382138,1.03177025210803,0.661161035467772
2017-02-11,1902,0.850076497743487,1.0415819585791,0.659920256232201
2017-02-12,1903,0.853424643124509,1.03661578775161,0.672915559471845
2017-02-13,1904,0.856474586968776,1.04553736421154,0.67142998039176
2017-02-14,1905,0.859219765638499,1.05415468505797,0.669605644682761
2017-02-15,1906,0.861653904543393,1.06242626305622,0.667436819364606
2017-02-16,1907,0.86377102831417,1.07031236929052,0.664919681991284
2017-02-17,1908,0.865565471020061,1.07777557198959,0.662052578166013
2017-02-18,1909,0.867031886424158,1.08478115414932,0.658836176459618
2017-02-19,1910,0.868165258264594,1.09129741688893,0.655273529462744
2017-02-20,1911,0.868960910543822,1.09729588610905,0.651370058051986
2017-02-21,1912,0.869414517802595,1.10275144638577,0.647133480796271
2017-02-22,1913,0.869522115349768,1.10764242736132,0.642573711223578
2017-02-23,1914,0.869280109413768,1.1119506643109,0.637702742565178
2017-02-24,1915,0.868685287176742,1.11566154700803,0.632534533374528
2017-02-25,1916,0.867734826647869,1.11876406098308,0.627084899304209
2017-02-26,1917,0.866426306328373,1.12125081456984,0.621371407759277
2017-02-27,1918,0.864757714617386,1.12311803556817,0.615413264559018
2017-02-28,1919,0.862727458904982,1.12436551448199,0.609231176347866
2017-03-01,1920,0.860334374296698,1.12499646825863,0.602847170149807
2017-03-02,1921,0.857577731912366,1.12501729984303,0.596284352546217
2017-03-03,1922,0.854457246701587,1.12443723465065,0.589566595370538
2017-03-04,1923,0.850973084718211,1.12326782465618,0.582718141989396
2017-03-05,1924,0.847125869797181,1.12152232309769,0.575763137247671
2017-03-06,1925,0.842916689578724,1.11921494637676,0.568725093834427
2017-03-07,1926,0.838347100827295,1.11636005301736,0.561626316956727
2017-03-08,1927,0.833419133995773,1.11297128102285,0.554487316674705
2017-03-09,1928,0.828135296989081,1.10906069338933,0.547326242189645
2017-03-10,1929,0.822498578085801,1.10463798604521,0.540158374269061
2017-03-11,1930,0.816512447980972,1.09970981270519,0.532995710700656
2017-03-12,1931,0.810180860918581,1.09427927712375,0.525846675409093
2017-03-13,1932,0.803508254887577,1.08834563545375,0.518715975144197
2017-03-14,1933,0.796499550860978,1.08190424056075,0.51160461913476
2017-03-15,1934,0.789160151063271,1.07494674702781,0.504510107545269
2017-03-16,1935,0.781495936256978,1.06746158102722,0.497426784696724
2017-03-17,1936,0.773513262044824,1.05943466397512,0.490346343448068
2017-03-18,1937,0.765218954188985,1.05085036356329,0.483258458387579
2017-03-19,1938,0.7566203029539,1.04169263094869,0.476151517931668
2017-03-20,1939,0.747725056483262,1.03194626913299,0.469013419341078
2017-03-21,1940,0.738541413225669,1.02159826551434,0.461832386237155
2017-03-22,1941,0.729078013426303,1.01063911201515,0.454597765592131
2017-03-23,1942,0.719343929704383,0.9990640300349,0.447300760532661
2017-03-24,1943,0.70934865673757,0.986874015845114,0.439935056806429
2017-03-25,1944,0.699102100075024,0.974076626067802,0.43249730460544
2017-03-26,1945,0.688614564100699,0.960686433534092,0.424987423794184
2017-03-27,1946,0.677896739167093,0.946725101649162,0.41740870956237
2017-03-28,1947,0.66695968791787,0.932221050214075,0.409767727054462
2017-03-29,1948,0.655814830814705,0.917208716309293,0.402073997286198
2017-03-30,1949,0.644473930880305,0.901727448041878,0.394339491917944
2017-03-31,1950,0.632949077665067,0.88582010334818,0.386577970035906
2017-04-01,1951,0.621252670440123,0.869531456531057,0.378804204389427
2017-04-02,1952,0.609397400614209,0.852906537519242,0.371033155675555
2017-04-03,1953,0.597396233366124,0.835989039254681,0.363279159618742
2017-04-04,1954,0.585262388479044,0.818819924767409,0.355555191367106
2017-04-05,1955,0.573009320357214,0.801436346961498,0.347872264550402
2017-04-06,1956,0.560650697200504,0.78387096271208,0.340239008752603
2017-04-07,1957,0.548200379307424,0.766151682412045,0.33266145080807
2017-04-08,1958,0.535672396473633,0.748301851891952,0.325143004777698
2017-04-09,1959,0.523080924449963,0.730340821447502,0.317684655622812
2017-04-10,1960,0.510440260422862,0.712284821801502,0.310285305165969
2017-04-11,1961,0.497764797480394,0.694148043055599,0.302942237826259
2017-04-12,1962,0.485068998029114,0.675943801977338,0.295651658646453
2017-04-13,1963,0.472367366131814,0.657685685218105,0.288409256940803
2017-04-14,1964,0.45967441874281,0.639388569426611,0.281210754219775
2017-04-15,1965,0.447004655827304,0.621069440695132,0.2740524031325
2017-04-16,1966,0.434372529363547,0.602747961812831,0.26693141321873
2017-04-17,1967,0.421792411242071,0.584446762952389,0.259846287839631
2017-04-18,1968,0.409278560094641,0.566191456769426,0.252797063883377
2017-04-19,1969,0.396845087106726,0.548010400335394,0.245785451432929
2017-04-20,1970,0.384505920891766,0.529934242616427,0.238814874728564
2017-04-21,1971,0.372274771531866,0.51199530692298,0.231890418913622
2017-04-22,1972,0.36016509391891,0.494226863112638,0.225018689730789
2017-04-23,1973,0.348190050560429,0.476662345002443,0.218207595930627
2017-04-24,1974,0.336362474046746,0.459334565357038,0.211466066842911
2017-04-25,1975,0.324694829407958,0.442274974946464,0.204803720287666
2017-04-26,1976,0.313199176621311,0.425513004427676,0.198230498519578
2017-04-27,1977,0.301887133560044,0.40907551896192,0.191756291849132
2017-04-28,1978,0.29076983970277,0.392986406129938,0.185390570592154
2017-04-29,1979,0.279857920947328,0.377266308295436,0.179142045760916
2017-04-30,1980,0.269161455892942,0.361932501444297,0.173018377250463
2017-05-01,1981,0.258689943969212,0.354205419419504,0.159819439782264
2017-05-02,1982,0.248452275798125,0.33933575600444,0.154310211423403
2017-05-03,1983,0.238456706175759,0.324895986497766,0.148929428786244
2017-05-04,1984,0.228710830052223,0.310891391373829,0.143678901755351
2017-05-05,1985,0.2192215618717,0.297324981099722,0.138559055866107
2017-05-06,1986,0.209995118608604,0.284197916115026,0.13356907006145
2017-05-07,1987,0.20103700680074,0.271509923951883,0.128707067359728
2017-05-08,1988,0.1923520138368,0.259259690947129,0.12397034161288
2017-05-09,1989,0.183944203703397,0.247445211458939,0.119355602240902
2017-05-10,1990,0.175816917337838,0.236064083730597,0.114859219168546
2017-05-11,1991,0.167972777667582,0.225113747781746,0.110477452031772
2017-05-12,1992,0.160413699347791,0.214591666239759,0.106206650786601
2017-05-13,1993,0.153140903136049,0.204495453291681,0.102043418762135
2017-05-14,1994,0.146154934770067,0.1948229596079,0.0979847335285245
2017-05-15,1995,0.139455688142264,0.185572322079143,0.094028025288876
2017-05-16,1996,0.133042432496071,0.176741986659483,0.0901712164995662
