"DATE","TIME","PO4","CI_up","CI_low"
2011-11-23,0,0.198917772132032,0.370278998726372,0.283160240793114
2011-11-24,1,0.187592060596112,0.349183342283343,0.26788265518022
2011-11-25,2,0.176850005560655,0.326577903964733,0.256231648500765
2011-11-26,3,0.16667232500139,0.308201749361824,0.242349435085273
2011-11-27,4,0.157039747466392,0.290965146952555,0.229201943560613
2011-11-28,5,0.147933044906569,0.274791454959422,0.21673955476039
2011-11-29,6,0.139333066884767,0.259604251826626,0.204912414487835
2011-11-30,7,0.131220775728687,0.245328446624603,0.19367154628427
2011-12-01,8,0.123577282186492,0.231891282644046,0.182969823494568
2011-12-02,9,0.116383881145667,0.219223225723179,0.172762791666475
2011-12-03,10,0.109622086985269,0.207258731448419,0.16300933822882
2011-12-04,11,0.103273668148656,0.195936886975749,0.153672211489263
2011-12-05,12,0.0973206805477,0.185201924120422,0.144718394925773
2011-12-06,13,0.091745499439463,0.175003600931049,0.136119345285478
2011-12-07,14,0.0865308494516334,0.165297449579218,0.127851104117431
2011-12-08,15,0.0816598324724767,0.155175291726436,0.120763889903271
2011-12-09,16,0.0771159531637938,0.146371785085945,0.113075416044008
2011-12-10,17,0.0728831419001355,0.137959552803703,0.105675393174535
2011-12-11,18,0.0689457749833023,0.129917380333381,0.0985567434546575
2011-12-12,19,0.0652886920268694,0.122229050267534,0.0917159725044238
2011-12-13,20,0.0618972104501595,0.114882839045131,0.0851526967652853
2011-12-14,21,0.0587571370638426,0.107870925601322,0.0788691050654857
2011-12-15,22,0.0558547767694394,0.101188732981771,0.0728693702962486
2011-12-16,23,0.0531769384317757,0.094834227837114,0.0671590312016396
2011-12-17,24,0.0507109380164314,0.088807205684928,0.0617443678800798
2011-12-18,25,0.0484445991130591,0.0831085912937095,0.0566317968676592
2011-12-19,26,0.0463662509899384,0.0777397829990177,0.0518273119235723
2011-12-20,27,0.0444647243451812,0.072702066908077,0.0473359944448295
2011-12-21,28,0.0427293449356559,0.0679961218061269,0.0431616127701864
2011-12-22,29,0.0411499252761056,0.0632127768377685,0.0397151745906042
2011-12-23,30,0.0397167546083114,0.0591766928316183,0.0361707716438819
2011-12-24,31,0.038420587343828,0.055467263563228,0.0329444137195125
2011-12-25,32,0.0372526301841185,0.0520799298824989,0.0300326372531679
2011-12-26,33,0.0362045281192704,0.049008602646242,0.0274301590805995
2011-12-27,34,0.0352683495012703,0.0462457277388538,0.025130001516881
2011-12-28,35,0.0344365703804935,0.0437823901673353,0.0231236492381572
2011-12-29,36,0.0337020582850403,0.0416084373602886,0.0214012180585338
2011-12-30,37,0.0330580556122194,0.0397126049580213,0.0199516190849227
2011-12-31,38,0.0324981627902216,0.0380826327864178,0.0187627063308748
2012-01-01,39,0.0320163213561895,0.036705363652406,0.017821400949394
2012-01-02,40,0.0316067970847682,0.0355668224379217,0.0171137901507994
2012-01-03,41,0.0312641632891009,0.0346522772014894,0.0166252031066269
2012-01-04,42,0.030983284404312,0.0342526270861214,0.0160339296169317
2012-01-05,43,0.0307592999520037,0.0337318431594986,0.0159438704038426
2012-01-06,44,0.0305876089732962,0.0333868616647396,0.0160247368576246
2012-01-07,45,0.0304638550075762,0.0332003881756878,0.0162593595331315
2012-01-08,46,0.0303839116844263,0.0331546403604289,0.016630094517979
2012-01-09,47,0.0303438689872243,0.0332314520134292,0.0171189197960098
2012-01-10,48,0.0303400202385901,0.0334124103450613,0.0177075615858064
2012-01-11,49,0.03036884985019,0.0336790307270924,0.0183776549927929
2012-01-12,50,0.0304270218722973,0.034012970982227,0.0191109413608366
2012-01-13,51,0.0305113693718704,0.0343962847380297,0.0198895023997308
2012-01-14,52,0.0306188846616117,0.0348117101974697,0.0206960283513368
2012-01-15,53,0.030746710396405,0.0352429867864246,0.0215141139887803
2012-01-16,54,0.0308921315475414,0.0356751875181995,0.0223285720567996
2012-01-17,55,0.0310525682591041,0.0360950498011408,0.0231257489987532
2012-01-18,56,0.0312255695846542,0.0368096280663872,0.0235754772638085
2012-01-19,57,0.0314088080958135,0.0371639265071791,0.0243139554737453
2012-01-20,58,0.0316000753473801,0.0374790517001649,0.0250059624242176
2012-01-21,59,0.0317972781761503,0.0377508527475659,0.0256463861144818
2012-01-22,60,0.0319984358026142,0.0379776148802452,0.026232462679139
2012-01-23,61,0.032201677696141,0.0381598796233251,0.0267636341455974
2012-01-24,62,0.0324052421552164,0.0383001408143671,0.0272412861274511
2012-01-25,63,0.0326074755448354,0.038402439232005,0.0276683840628204
2012-01-26,64,0.0328068321234558,0.0382211719441165,0.0282997605943374
2012-01-27,65,0.0330018743821884,0.0382706198419449,0.0286316368681134
2012-01-28,66,0.0331912738094202,0.0382983818087587,0.028927279124531
2012-01-29,67,0.0333738119851698,0.0383099866817696,0.0291915981414642
2012-01-30,68,0.0335483819015181,0.0383103792251133,0.0294290512149042
2012-01-31,69,0.0337139893988618,0.0383037168504254,0.029643436915572
2012-02-01,70,0.0338697546028996,0.0382932687879297,0.0298377892389013
2012-02-02,71,0.034014913244599,0.0382814041934927,0.0300143598953964
2012-02-03,72,0.0341488177452587,0.0382696487430639,0.030174669909717
2012-02-04,73,0.0342709379515092,0.0382587869735029,0.0303196085306677
2012-02-05,74,0.034380861410876,0.0382489891202491,0.030449558057565
2012-02-06,75,0.0344782930875048,0.0382399451108065,0.0305645263808254
2012-02-07,76,0.0345630544297769,0.0381037620588563,0.0307915047671113
2012-02-08,77,0.0346350817166686,0.038095583996685,0.0308740755542321
2012-02-09,78,0.0346944236275174,0.0380853282690477,0.0309408669211623
