"DATE","TIME","ABONDANCE","CI_up","CI_low"
2016-06-16,1626,10.2588105480658,10.4712034918713,10.0467609041119
2016-06-17,1627,10.2512901201207,10.4680363472903,10.0352525284063
2016-06-18,1628,10.244330961552,10.4656097652281,10.0242053706629
2016-06-19,1629,10.2379336923047,10.4638946623059,10.0136301841851
2016-06-20,1630,10.2320979781446,10.4628512694701,10.0035360711292
2016-06-21,1631,10.2268225909368,10.4624318762024,9.99393138527295
2016-06-22,1632,10.2221054663025,10.462584396086,9.98482478310373
2016-06-23,1633,10.2179437582087,10.4632562721501,9.97622621454784
2016-06-24,1634,10.2143338901223,10.4643982069958,9.96814766491021
2016-06-25,1635,10.2112716024498,10.4659672638631,9.96060351710335
2016-06-26,1636,10.2087519960583,10.4679290174319,9.95361047850166
2016-06-27,1637,10.2067695717528,10.4702586003404,9.94718708941354
2016-06-28,1638,10.2053182656559,10.4729406550098,9.94135288567587
2016-06-29,1639,10.2043914805037,10.4559547112694,9.95614094045884
2016-06-30,1640,10.2039821129347,10.459032388595,9.95183772670063
2016-07-01,1641,10.2040825769074,10.462470954948,9.94816613918449
2016-07-02,1642,10.2046848234312,10.4662772692984,9.94513800286729
2016-07-03,1643,10.2057803568473,10.4704577855826,9.942760697222
2016-07-04,1644,10.2073602479355,10.4750163990556,9.94103636526847
2016-07-05,1645,10.2094151441601,10.4799526233018,9.93996141130302
2016-07-06,1646,10.2119352774026,10.4852601933405,9.93952633380335
2016-07-07,1647,10.2149104695511,10.4909261583879,9.93971592966645
2016-07-08,1648,10.2183301363446,10.4969305026535,9.94050989418835
2016-07-09,1649,10.22218328988,10.5032463112439,9.94188382523844
2016-07-10,1650,10.2264585402081,10.509840476906,9.94381061729003
2016-07-11,1651,10.2311440964451,10.5166749180882,9.94626219963347
2016-07-12,1652,10.2362277678312,10.5237082469766,9.949211533355
2016-07-13,1653,10.24169696516,10.5308977874847,9.95263473640379
2016-07-14,1654,10.2475387029944,10.5382018005315,9.95651316147242
2016-07-15,1655,10.253739603067,10.5455817337127,9.9608352166986
2016-07-16,1656,10.2602858992399,10.5530042837014,9.9655977051809
2016-07-17,1657,10.2671634443727,10.5604430523734,9.97080647580982
