"DATE","TIME","DIFFUSION","CI_up","CI_low"
2012-01-03,0,0.0763738543828059,0.0895389934246874,0.074789170434274
2012-01-04,1,0.0768554781775793,0.089661264782821,0.0754971914505492
2012-01-05,2,0.0773161621134807,0.0880016938799074,0.0779267389563222
2012-01-06,3,0.0777558120671826,0.088169788040735,0.0784662231686203
2012-01-07,4,0.0781743615614893,0.0883199950699257,0.0789593119155471
2012-01-08,5,0.0785717714982585,0.08845078586911,0.0794059221161556
2012-01-09,6,0.078948029857246,0.0885608560522219,0.0798060881487039
2012-01-10,7,0.0793031513612837,0.0886491505883659,0.0801600005714909
2012-01-11,8,0.0796371771082701,0.0887148843033407,0.0804680400357946
2012-01-12,9,0.079950174170562,0.088757557221953,0.0807308053486881
2012-01-13,10,0.0802422351624352,0.088776963924842,0.0809491348047015
2012-01-14,11,0.0805134777763723,0.0887731963181042,0.0811241201045512
2012-01-15,12,0.0807640442890302,0.088746639462246,0.081257112409813
2012-01-16,13,0.080994101037818,0.0886979603684493,0.081349720336183
2012-01-17,14,0.0812038378691043,0.0886280899338353,0.0814037999552685
2012-01-18,15,0.0813934675591569,0.0885381984424219,0.0814214371449482
2012-01-19,16,0.0815632252089891,0.0879815738621642,0.0818530143221959
2012-01-20,17,0.0817133676143645,0.0878608908988324,0.0817998753113111
2012-01-21,18,0.0818441726122846,0.087723935086711,0.0817185261639309
2012-01-22,19,0.0819559384053404,0.0875725465748184,0.0816116096686622
2012-01-23,20,0.0820489828653778,0.0874086159289418,0.0814818238323419
2012-01-24,21,0.0821236428179719,0.0872340408351288,0.0813318781531834
2012-01-25,22,0.082180273309258,0.0870506839021772,0.081164450192505
2012-01-26,23,0.0822192468567056,0.0868603327991416,0.080982143808077
2012-01-27,24,0.0822409526854563,0.0866646638609611,0.0807874503126399
2012-01-28,25,0.0822457959518708,0.0864652101519846,0.080582713675486
2012-01-29,26,0.0822341969559544,0.0862633347997856,0.0803701007011587
2012-01-30,27,0.082206590344335,0.086060210207991,0.0801515769067168
2012-01-31,28,0.0821634243054774,0.0858568035359219,0.0799288885878932
2012-02-01,29,0.0821051597588105,0.085653868604403,0.0797035513253256
2012-02-02,30,0.0820322695394322,0.0854519441611564,0.079476844945051
2012-02-03,31,0.0819452375800378,0.0852513582254279,0.0792498147221339
2012-02-04,32,0.08184455809169,0.0850522380387168,0.0790232784111045
2012-02-05,33,0.0817307347450137,0.0848545249840605,0.0787978385089536
2012-02-06,34,0.0816042798533553,0.0846579937058857,0.0785738990114566
2012-02-07,35,0.0814657135594006,0.0844622745695176,0.0783516858156141
2012-02-08,36,0.0813155630266837,0.0842668785454532,0.0781312698523549
2012-02-09,37,0.0811543616373636,0.0840712235878519,0.077912592004979
2012-02-10,38,0.0809826481975724,0.0838746615969238,0.0776954888790272
2012-02-11,39,0.0808009661515687,0.0836765051071224,0.0774797185356383
2012-02-12,40,0.0806098628058512,0.0834760529223124,0.0772649853787875
2012-02-13,41,0.080409888564305,0.0832726140198038,0.0770509634916315
2012-02-14,42,0.0802015961753691,0.0830655291615078,0.0768373178420487
2012-02-15,43,0.0799855399921242,0.0828541897767517,0.0766237229152906
2012-02-16,44,0.0797622752461124,0.0826380538121078,0.0764098784751277
2012-02-17,45,0.0795323573356015,0.0824166583740276,0.0761955222968351
2012-02-18,46,0.0792963411289277,0.0821896291157568,0.0759804398493019
2012-02-19,47,0.0790547802834421,0.0819566864370358,0.075764471023839
2012-02-20,48,0.0788082265805095,0.0817176486700896,0.0755475141095791
2012-02-21,49,0.0785572292769086,0.0814724325153701,0.0753295272967669
2012-02-22,50,0.0783023344729007,0.0812210510628849,0.0751105280482443
2012-02-23,51,0.0780440844971465,0.0809636097876592,0.0748905907159818
2012-02-24,52,0.0777830173085728,0.0807003009394654,0.0746698427946944
2012-02-25,53,0.0775196659152107,0.0804313967567497,0.0744484602004412
2012-02-26,54,0.0772545578099608,0.0801572419230008,0.074226661941303
2012-02-27,55,0.0769882144231699,0.0798782456520935,0.0740047045127067
2012-02-28,56,0.0767211505918482,0.0795948737400757,0.0737828763047642
2012-02-29,57,0.0764538740453023,0.079307640858298,0.0735614922560522
2012-03-01,58,0.0761868849069109,0.0790171032915275,0.0733408889303758
2012-03-02,59,0.0759206752117373,0.0787238522502054,0.073121420132903
2012-03-03,60,0.0756557284396369,0.0784285078138851,0.072903453122237
2012-03-04,61,0.0753925190635007,0.0781317134983983,0.0726873654181236
2012-03-05,62,0.0751315121122571,0.0778341313867775,0.0724735421532455
2012-03-06,63,0.0748731627482541,0.0775364377264962,0.0722623738745709
2012-03-07,64,0.0746179158586423,0.077239318874652,0.0720542546674814
2012-03-08,65,0.0743662056603935,0.0769434674681841,0.0718495804564874
2012-03-09,66,0.0741184553186086,0.0766495787064583,0.0716487473311249
2012-03-10,67,0.0738750765777951,0.0763583466557781,0.0714521497550747
2012-03-11,68,0.073636469405831,0.0760704605160303,0.0712601785399123
2012-03-12,69,0.0734030216503747,0.0757866008249435,0.0710732185002987
2012-03-13,70,0.0731751087075279,0.0755074356116057,0.0708916457517866
2012-03-14,71,0.0729530932026174,0.0752336165447031,0.0707158246618839
2012-03-15,72,0.0727373246830169,0.074965775149782,0.0705461045151626
2012-03-16,73,0.0725281393230038,0.0747045191917444,0.0703828159996215
2012-03-17,74,0.0723258596407058,0.0744504293324464,0.0702262676601138
2012-03-18,75,0.0721307942272727,0.0742040561779339,0.0700767424921464
2012-03-19,76,0.0719432374884769,0.0739659178251601,0.0699344948634289
