"DATE","TIME","DIFFUSION","CI_up","CI_low"
2012-01-03,0,0.0394738470739473,0.0426994036981051,0.0381864112489429
2012-01-04,1,0.0395194010527238,0.0426210738505323,0.0382864979802384
2012-01-05,2,0.0395563029587733,0.0425384438047374,0.0383686001277884
2012-01-06,3,0.0395845881295861,0.0424512500004731,0.0384329935829086
2012-01-07,4,0.0396043005685304,0.0423592896045887,0.0384799735875255
2012-01-08,5,0.0396154928529016,0.0422624225969742,0.0385098638326888
2012-01-09,6,0.0396182260280296,0.0421605729927057,0.0385230246784149
2012-01-10,7,0.0396125694877014,0.0420537290253367,0.0385198602189299
2012-01-11,8,0.0395986008411989,0.0419419421687666,0.0385008239302696
2012-01-12,9,0.0395764057672971,0.0418253249327916,0.0384664226623733
2012-01-13,10,0.0395460778556156,0.0417040474258202,0.0384172187766634
2012-01-14,11,0.0395077184357598,0.041578332732838,0.0383538302835045
2012-01-15,12,0.0394614363947336,0.0414484512036664,0.0382769289014649
2012-01-16,13,0.0394073479831494,0.0411152194957273,0.0383867303274852
2012-01-17,14,0.0393455766108048,0.040980236627645,0.0382827447083413
2012-01-18,15,0.0392762526322352,0.0408415954624867,0.0381680492470226
2012-01-19,16,0.039199513122894,0.0406997097752336,0.0380434432353685
2012-01-20,17,0.0391155016466473,0.0405550015574156,0.0379097413833052
2012-01-21,18,0.0390243680153071,0.0404078919898971,0.037767762594815
2012-01-22,19,0.0389262680409604,0.0402587925070258,0.0376183183844304
2012-01-23,20,0.0388213632818787,0.0401080961633911,0.0374622013524181
2012-01-24,21,0.038709820782822,0.0399561695160767,0.0373001741236392
2012-01-25,22,0.0385918128105731,0.0398033452327311,0.0371329591227256
2012-01-26,23,0.0384675165855559,0.0396499156268628,0.0369612295104471
2012-01-27,24,0.0383371140104094,0.0394961273047395,0.0367856015472655
2012-01-28,25,0.0382007913963961,0.0393421770822285,0.0366066285843369
2012-01-29,26,0.0380587391885331,0.0391882092950125,0.0364247968134549
2012-01-30,27,0.0379111516903327,0.0390343145830858,0.036240522838863
2012-01-31,28,0.0377582267890386,0.0388805301823344,0.0360541530680701
2012-02-01,29,0.0376001656822335,0.0387268417049772,0.0358659648578427
2012-02-02,30,0.0374371726066825,0.038573186339558,0.0356761692969902
2012-02-03,31,0.0372694545702571,0.0384194573528312,0.0354849154606511
2012-02-04,32,0.037097221087764,0.0381552832577813,0.0354025224074858
2012-02-05,33,0.036920683921472,0.037999472217933,0.0352100479204341
2012-02-06,34,0.0367400568271018,0.037843037820245,0.0350162773832101
2012-02-07,35,0.0365555553060039,0.037685769170722,0.0348211693360259
2012-02-08,36,0.0363673963642093,0.0375274461351464,0.0346246563785839
2012-02-09,37,0.0361757982789935,0.0373678473522581,0.0344266532952033
2012-02-10,38,0.035980980373544,0.0372067580011611,0.0342270649517193
2012-02-11,39,0.0357831628002695,0.0370439771093697,0.0340257937536808
2012-02-12,40,0.0355825663332324,0.0368793242146304,0.0338227464857893
2012-02-13,41,0.0353794121701261,0.0367126452255101,0.0336178403873485
2012-02-14,42,0.0351739217441593,0.0365438173610501,0.0334110083561009
2012-02-15,43,0.0349663165461409,0.0363727530868687,0.0332022032115387
2012-02-16,44,0.0347568179569955,0.0361994030023125,0.0329914009869501
2012-02-17,45,0.0345456470908658,0.0360237576691062,0.0327786032555689
2012-02-18,46,0.0343330246488922,0.035845848405112,0.032563838528885
2012-02-19,47,0.034119170783681,0.035665747096186,0.0323471627933233
2012-02-20,48,0.0339043049744007,0.0354835651038754,0.0321286592742817
2012-02-21,49,0.033688645912368,0.035299451366295,0.0319084375333994
2012-02-22,50,0.0334724113969047,0.0351135898036689,0.0316866320157196
2012-02-23,51,0.033255818241168,0.0349261961487529,0.0314634001682175
2012-02-24,52,0.0330390821875718,0.0347375143259356,0.03123892025041
2012-02-25,53,0.0328224178323336,0.0345478125017566,0.0310133889521143
2012-02-26,54,0.0326060385585922,0.0343573789245849,0.0307870189237461
2012-02-27,55,0.0323901564774526,0.0341665176631022,0.030560036311862
2012-02-28,56,0.0321749823762229,0.0339755443429515,0.0303326783780274
2012-02-29,57,0.031960725673011,0.0337847819693706,0.0301051912635955
2012-03-01,58,0.0317475943767522,0.033594556911697,0.0298778279476121
2012-03-02,59,0.0315357950516366,0.0334051951140672,0.0296508464306414
2012-03-03,60,0.0313255327848028,0.0332170185860053,0.0294245081645044
2012-03-04,61,0.0311170111560552,0.0330303422172752,0.0291990767371141
2012-03-05,62,0.0309104322082573,0.0328454709534809,0.0289748168129694
2012-03-06,63,0.0307059964169391,0.0326626973623227,0.0287519933233077
2012-03-07,64,0.0305039026575509,0.0324822996148386,0.0285308708951244
2012-03-08,65,0.0303043481686817,0.0323045399008677,0.0283117135047315
2012-03-09,66,0.0301075285094594,0.0321296632927534,0.0280947843386439
2012-03-10,67,0.0299136375092451,0.0319578970653019,0.0278803458416799
2012-03-11,68,0.0297228672076447,0.0317894504726029,0.0276686599286217
2012-03-12,69,0.0295354077827803,0.0316245149729883,0.0274599883310675
2012-03-13,70,0.0293514474657024,0.0314632648818413,0.0272545930448888
2012-03-14,71,0.0291711724387814,0.0313058584180795,0.0270527368358708
2012-03-15,72,0.0289947667159065,0.0311524390941446,0.0268546837518355
2012-03-16,73,0.0288224120023421,0.0310031373817573,0.0266606995792977
2012-03-17,74,0.0286542875321539,0.030858072567367,0.0264710521722372
2012-03-18,75,0.0284905698812363,0.0307173546932718,0.0262860115709102
2012-03-19,76,0.0283314327541394,0.0305810864641503,0.0261058498209881
