"DATE","TIME","ABONDANCE","CI_up","CI_low"
2012-01-03,0,6.6704767642333,6.96889770632524,5.15780519690835
2012-01-04,1,6.71716314771849,6.9846961409777,5.27074631463628
2012-01-05,2,6.76401982907863,6.79407223478322,5.59209242488687
2012-01-06,3,6.81102777731537,6.8304198702501,5.68852064338372
2012-01-07,4,6.85816638548035,6.87043540967532,5.78337410895387
2012-01-08,5,6.90541355016588,6.91392931451797,5.87684386154828
2012-01-09,6,6.95274575270344,6.96070627227865,5.96908332438129
2012-01-10,7,7.00013814190676,7.01056165621926,6.06020776972114
2012-01-11,8,7.04756461818846,7.06327882362837,6.15029442133418
2012-01-12,9,7.0949979188764,7.11862730092502,6.23938325173337
2012-01-13,10,7.14240970454945,7.17636187727697,6.32747850263675
2012-01-14,11,7.18977064620946,7.23622260058029,6.414550926604
2012-01-15,12,7.23705051310254,7.29793564166256,6.50054071793014
2012-01-16,13,7.28421826100038,7.36121496550147,6.58536107273858
2012-01-17,14,7.33124212074989,7.42576472315126,6.66890229295782
2012-01-18,15,7.37808968689913,7.49128225594223,6.75103632745951
2012-01-19,16,7.42472800620636,7.51116199905079,6.87792121307402
2012-01-20,17,7.4711236658395,7.57848549488879,6.95601992964755
2012-01-21,18,7.51724288107506,7.64574272766606,7.03238816791821
2012-01-22,19,7.56305158230666,7.71265036409155,7.10686513204625
2012-01-23,20,7.60851550117658,7.77893726668134,7.17929672490352
2012-01-24,21,7.65360025564716,7.84434826439289,7.24953986432778
2012-01-25,22,7.69827143383293,7.90864754675769,7.31746632505681
2012-01-26,23,7.74249467641957,7.9716215741877,7.3829660107635
2012-01-27,24,7.78623575750166,8.03308141872231,7.44594958179023
2012-01-28,25,7.8294606636771,8.09286447354549,7.50635038751048
2012-01-29,26,7.87213567124374,8.15083549502706,7.56412567676713
2012-01-30,27,7.91422742135109,8.20688696669738,7.61925708454979
2012-01-31,28,7.95570299296833,8.26093879937627,7.67175041698975
2012-02-01,29,7.99652997353863,8.31293740466747,7.72163477892617
2012-02-02,30,8.03667652719897,8.36285419936726,7.76896110788052
2012-02-03,31,8.07611146045425,8.41068361535573,7.81380019455504
2012-02-04,32,8.11480428520446,8.45644070276319,7.85624028240198
2012-02-05,33,8.15272527903391,8.50015842333941,7.89638434705481
2012-02-06,34,8.18984554268178,8.54188473589319,7.93434716034571
2012-02-07,35,8.226137054624,8.58167957647549,7.97025224334705
2012-02-08,36,8.26157272270684,8.61961183287039,8.00422880866265
2012-02-09,37,8.29612643278334,8.65575640629009,8.0364087845239
2012-02-10,38,8.32977309431408,8.69019144341369,8.06692400271572
2012-02-11,39,8.3624886829041,8.7229958096319,8.09590361965736
2012-02-12,40,8.39425027975798,8.75424686019665,8.12347182581566
2012-02-13,41,8.42503610804508,8.78401855060951,8.14974588375177
2012-02-14,42,8.45482556617575,8.81237991171652,8.17483452016033
2012-02-15,43,8.48359925799936,8.83939389930564,8.19883668284114
2012-02-16,44,8.51133901994301,8.86511661317869,8.22184066013073
2012-02-17,45,8.53802794511762,8.8895968672829,8.24392354829762
2012-02-18,46,8.5636504044268,8.9128760810326,8.26515104205164
2012-02-19,47,8.58819206471957,8.93498845280038,8.28557751482182
2012-02-20,48,8.61163990403523,8.9559613699531,8.30524634894595
2012-02-21,49,8.63398222399433,8.97581600584107,8.32419047144983
2012-02-22,50,8.65520865939434,8.99456805276831,8.34243304870354
2012-02-23,51,8.67531018507369,9.01222854099524,8.3599882929142
2012-02-24,52,8.69427912011118,9.0288046969554,8.37686233509775
2012-02-25,53,8.71210912943106,9.04430079873082,8.39305412276274
