"DATE","TIME","SIOH4","CI_up","CI_low"
2014-03-08,836,0.622551753010501,0.697294569062228,0.543747912817427
2014-03-09,837,0.605724300748045,0.679824510612889,0.528602197125582
2014-03-10,838,0.589541870049206,0.662824585908527,0.513951494735168
2014-03-11,839,0.574031622402614,0.646327293302912,0.499818163217681
2014-03-12,840,0.559216893165759,0.630373992213378,0.486232752437347
2014-03-13,841,0.545117133342423,0.615013334013249,0.473232701236247
2014-03-14,842,0.531747921725749,0.600299092776347,0.460860388892275
2014-03-15,843,0.519121040859246,0.586287534849087,0.449160669521609
2014-03-16,844,0.507244608581967,0.573034521409807,0.438178080354413
2014-03-17,845,0.496123255815873,0.560592577534973,0.427953962503852
2014-03-18,846,0.485758340710505,0.549008174323032,0.418523753717486
2014-03-19,847,0.476148189232781,0.538319451346823,0.409914699325988
2014-03-20,848,0.467288352701725,0.528554555821322,0.402144179753951
2014-03-21,849,0.459171873526943,0.519730700142633,0.39521877763743
2014-03-22,850,0.451789551417336,0.511853953938979,0.389134117901039
2014-03-23,851,0.445130203487836,0.504919705496818,0.383875425860845
2014-03-24,852,0.439180912920752,0.49891366355652,0.379418676022086
2014-03-25,853,0.433927262062224,0.493813232334087,0.375732157616269
2014-03-26,854,0.429353546996737,0.489589082377177,0.372778265677596
2014-03-27,855,0.425442971702786,0.486206754033421,0.370515336155127
2014-03-28,856,0.422177820825092,0.483628161674609,0.368899373426311
2014-03-29,857,0.419539610890464,0.481812906799828,0.367885559907906
2014-03-30,858,0.41750922044349,0.48071934889975,0.367429481830986
2014-03-31,859,0.416067000090661,0.480305418762083,0.367488046064951
2014-04-01,860,0.415192863828795,0.4805291865564,0.36802009604481
2014-04-02,861,0.414866363310669,0.48134921570698,0.36898675870309
2014-04-03,862,0.41506674688383,0.481656397452082,0.371419915676409
2014-04-04,863,0.415773005344372,0.483545850096707,0.373150314094886
2014-04-05,864,0.416963906391319,0.485910067348063,0.375214232801104
2014-04-06,865,0.418618019763317,0.488710435361586,0.377581678912698
2014-04-07,866,0.420713734999291,0.491908919429844,0.380224398753761
2014-04-08,867,0.423229273698317,0.495468028091529,0.383115668457402
2014-04-09,868,0.426142698068649,0.499350837602498,0.3862301407309
2014-04-10,869,0.429431917456944,0.503521097594055,0.389543770711789
2014-04-11,870,0.43307469443992,0.507943430288805,0.393033833968417
2014-04-12,871,0.43704865194376,0.512583625219647,0.396679038706848
2014-04-13,872,0.441331282732553,0.517409019071285,0.400459722347663
2014-04-14,873,0.445899962475475,0.522388936771712,0.4043581105094
2014-04-15,874,0.450731967462793,0.527495156800341,0.408358605297982
2014-04-16,875,0.455804497891899,0.53270235298494,0.412448061305467
2014-04-17,876,0.461094707485531,0.537988459230441,0.416616003651287
2014-04-18,877,0.466579740034428,0.543334904731397,0.420854744211132
2014-04-19,878,0.47223677327565,0.548726676344798,0.425159360497658
2014-04-20,879,0.478043070326212,0.554152181493429,0.429527515897709
2014-04-21,880,0.483976038690943,0.559602907086865,0.433959118248382
2014-04-22,881,0.490013296655827,0.56507289396527,0.438455833157998
2014-04-23,882,0.496132746666762,0.570558068165272,0.443020485777894
2014-04-24,883,0.50231265508286,0.576055486154807,0.447656397042795
2014-04-25,884,0.508531737487965,0.581562558674552,0.452366705950362
2014-04-26,885,0.514769248549497,0.587076316373864,0.457153727934366
2014-04-27,886,0.521005075235901,0.592592771257491,0.462018391896238
2014-04-28,887,0.527219832048835,0.598106413582339,0.46695978707581
2014-04-29,888,0.533394956799312,0.603609867308793,0.471974838109196
2014-04-30,889,0.539512805363672,0.609093711338536,0.477058114552324
2014-05-01,890,0.545556743799326,0.614546460611391,0.482201771400474
2014-05-02,891,0.551511236185125,0.619954691740749,0.487395610441875
2014-05-03,892,0.557361926578262,0.625303292353058,0.492627248616904
2014-05-04,893,0.563095713549115,0.630575811078017,0.497882378327705
2014-05-05,894,0.568700815865676,0.635754885247978,0.503145104978118
2014-05-06,895,0.57416682804722,0.640822724753833,0.508398347995104
2014-05-07,896,0.579484764687895,0.645761632243379,0.513624292398852
2014-05-08,897,0.584647092659126,0.650554541264487,0.518804878102259
2014-05-09,898,0.589647750528333,0.65518555468123,0.52392231327278
2014-05-10,899,0.594482154772814,0.6596404656587,0.52895959631074
2014-05-11,900,0.599147192614007,0.66390724291568,0.533901028574985
2014-05-12,901,0.60364120154101,0.667976461181783,0.538732697412738
