"DATE","TIME","PO4","CI_up","CI_low"
2011-11-28,0,0.0151875735496435,0.0276994806466359,-0.0115500720280065
2011-11-29,1,0.0166722008035563,0.0278197581717364,-0.00891135951862407
2011-11-30,2,0.0180910962029077,0.0279612155228922,-0.00647354208244153
2011-12-01,3,0.0194475530278918,0.0281214478244892,-0.00421851724833984
2011-12-02,4,0.02074473662839,0.0282995173707499,-0.00212878109977641
2011-12-03,5,0.0219856845075205,0.0284957260083935,-0.000187431555867128
2011-12-04,6,0.0231733067922069,0.0287113891502829,0.00162180302330288
2011-12-05,7,0.0243103870703851,0.0289486128301386,0.00331451445923467
2011-12-06,8,0.0253995835734339,0.0292100756942126,0.00490554927109786
2011-12-07,9,0.0264434306816233,0.0294988182059343,0.00640893180456949
2011-12-08,10,0.0274443407297771,0.0298180416068669,0.00783778067374136
2011-12-09,11,0.0284046060899498,0.0301709193265213,0.00920422311581757
2011-12-10,12,0.0293264015077096,0.0305604235626503,0.0105193116691946
2011-12-11,13,0.0302117866685926,0.0309891696635282,0.0117929473053061
2011-12-12,14,0.0310627089714224,0.0314592807391934,0.0130338127752119
2011-12-13,15,0.0318810064854787,0.0319722746186748,0.0142493194805773
2011-12-14,16,0.0326684110689186,0.0325289748683718,0.0154455706584222
2011-12-15,17,0.0334265516264045,0.0331294471111546,0.0166273430990611
2011-12-16,18,0.0341569574845474,0.0337729613589964,0.0177980890222397
2011-12-17,19,0.0348610618645304,0.0324405061623118,0.0209774335062932
2011-12-18,20,0.0355402054321117,0.0332206363092631,0.0220753858393547
2011-12-19,21,0.0361956399061154,0.0340310820708513,0.0231708359106677
2011-12-20,22,0.0368285317074826,0.0348683782451611,0.0242620756759489
2011-12-21,23,0.037439965631963,0.035728402727561,0.0253464536260064
2011-12-22,24,0.0380309485305725,0.0366064838364095,0.026420500244422
2011-12-23,25,0.0386024129830129,0.0374975251987501,0.0274800725533396
2011-12-24,26,0.039155220950329,0.0383961457505082,0.0285205167760803
2011-12-25,27,0.0396901673941689,0.0392968320059844,0.029536847994671
2011-12-26,28,0.0402079838510993,0.0401940991077547,0.0305239452500746
2011-12-27,29,0.0407093419515051,0.0410826561587152,0.0314767596289038
2011-12-28,30,0.0411948568736638,0.041957569896618,0.0323905313315809
2011-12-29,31,0.041665090724625,0.0428144189632433,0.0332610094513239
2011-12-30,32,0.0421205558405448,0.0436494291246588,0.034084665331992
2011-12-31,33,0.0425617180001045,0.0444595783608044,0.034858887310312
2012-01-01,34,0.042988999545601,0.0452426605370595,0.0355821420711852
2012-01-02,35,0.0434027824072132,0.0459972982274994,0.0362540866387769
2012-01-03,36,0.0438034110268259,0.0467228997394519,0.0368756160491698
2012-01-04,37,0.044191195178637,0.0474195623852315,0.0374488355254156
2012-01-05,38,0.0445664126845748,0.048087932493738,0.0379769524189636
2012-01-06,39,0.0449293120233061,0.048729040557818,0.0384640915103607
2012-01-07,40,0.0452801148323416,0.0493441348431688,0.0389150461565328
2012-01-08,41,0.0456190183034147,0.0499345367534563,0.0393349857188436
2012-01-09,42,0.0459461974719434,0.0505015356383634,0.0397291453546165
2012-01-10,43,0.0462618074019819,0.051046330813779,0.0401025266314304
2012-01-11,44,0.046565985268607,0.0515700172219571,0.0404596360083471
2012-01-12,45,0.0468588523402006,0.0520736018583422,0.0408042830176447
2012-01-13,46,0.0471405158635448,0.0525580334928449,0.0411394516155194
2012-01-14,47,0.0474110708550716,0.0530242291323603,0.0414672480237703
2012-01-15,48,0.0476706018019817,0.0534730859017614,0.041788918392362
2012-01-16,49,0.0479191842772819,0.0539054740754199,0.0421049217610071
2012-01-17,50,0.0481568864730759,0.0543222132979334,0.0424150394667231
2012-01-18,51,0.0483837706566825,0.0547240379255519,0.0427185016681019
2012-01-19,52,0.0485998945543493,0.0551115585045662,0.0430141143395923
2012-01-20,53,0.0488053126674687,0.0554852252996862,0.0433003746210694
2012-01-21,54,0.0490000775262938,0.0558452975667868,0.0435755674184092
2012-01-22,55,0.0491842408861864,0.0561918199408884,0.0438378406219094
2012-01-23,56,0.0493578548714042,0.056524605552346,0.0440852597335142
2012-01-24,57,0.0495209730713546,0.0568432245826639,0.0443158450092917
2012-01-25,58,0.0496736515940929,0.0563420356612252,0.0453325569166998
2012-01-26,59,0.049815950081633,0.0566238345697069,0.0455296601563445
2012-01-27,60,0.0499479326913599,0.0568882902930105,0.0457043026429375
2012-01-28,61,0.0500696690474795,0.0571339334553385,0.0458545526969895
2012-01-29,62,0.0501812351660225,0.0573590821985268,0.0459785194452353
2012-01-30,63,0.0502827143564223,0.0575618748989272,0.0460743983253968
2012-01-31,64,0.0503741981021189,0.057740324520512,0.0461405382446098
2012-02-01,65,0.0504557869219985,0.0578924007452733,0.0461755336482364
2012-02-02,66,0.0505275912137729,0.0580161444668329,0.0461783415196617
2012-02-03,67,0.0505897320796223,0.0581098157637846,0.0461484186079786
2012-02-04,68,0.0506423421335955,0.0581720709050699,0.0460858682866735
2012-02-05,69,0.0506855662893705,0.0582021566297793,0.0459915803035113
2012-02-06,70,0.0507195625260544,0.0582001019951541,0.0458673418214843
2012-02-07,71,0.0507445026287446,0.0581668814007088,0.045715896430905
2012-02-08,72,0.0507605728996002,0.0581045193520977,0.0455409308101612
2012-02-09,73,0.0507679748342101,0.0580161102539906,0.0453469769540946
2012-02-10,74,0.0507669257570963,0.0579057359269222,0.0451392302816219
2012-02-11,75,0.0507576594092965,0.0577782785369218,0.0449232977917439
2012-02-12,76,0.0507404264801341,0.0576391440248914,0.0447049022579777
