"DATE","TIME","NH4","CI_up","CI_low"
2014-04-17,948,0.200672655075671,0.31524048776179,0.0842061134104972
2014-04-18,949,0.200209895671184,0.314733808683676,0.0834358916714552
2014-04-19,950,0.199637570628159,0.31399759603444,0.0826956700528072
2014-04-20,951,0.198956592688293,0.313034586453114,0.0819894599487978
2014-04-21,952,0.198168137695388,0.311849058770604,0.0813205601241278
2014-04-22,953,0.197273642027065,0.31044660089855,0.0806915178855383
2014-04-23,954,0.196274799047016,0.308833790175666,0.0801040984102766
2014-04-24,955,0.195173554580522,0.307017828783597,0.079559266359625
2014-04-25,956,0.193972101423563,0.30500617896523,0.0790571832550345
2014-04-26,957,0.192672872903734,0.302806239430173,0.07859722306436
2014-04-27,958,0.191278535519116,0.300425095791792,0.0781780071829861
2014-04-28,959,0.189791980689159,0.297869366135025,0.077797458645254
2014-04-29,960,0.188216315659397,0.295145150017754,0.077452874107682
2014-04-30,961,0.186554853609222,0.292258077226005,0.0771410110352272
2014-05-01,962,0.184811103019011,0.289213442743955,0.0768581866928234
2014-05-02,963,0.182988756359286,0.286016407349891,0.0766003850463602
2014-05-03,964,0.181091678170384,0.282672239155131,0.0763633675034215
2014-05-04,965,0.179123892606092,0.279186570032739,0.076142783516084
2014-05-05,966,0.177089570518771,0.275565641797232,0.0759342773338516
2014-05-06,967,0.174993016166653,0.271816519688022,0.0757335875349817
2014-05-07,968,0.172838653626096,0.267947254689734,0.0755366362997676
2014-05-08,969,0.170631012992664,0.263966981063571,0.075339605682076
2014-05-09,970,0.168374716454873,0.259885940802882,0.0751389983999387
2014-05-10,971,0.166074464323403,0.255715432252735,0.0749316809650733
2014-05-11,972,0.163735021096448,0.251467685571476,0.074714907399386
2014-05-12,973,0.161361201638791,0.247155672804657,0.074486322442751
2014-05-13,974,0.158957857548157,0.24279286484188,0.0742439441122657
2014-05-14,975,0.156529863777532,0.238392951199651,0.0739861267432765
2014-05-15,976,0.154082105576513,0.233969541200812,0.0737115071641923
2014-05-16,977,0.151619465808482,0.229535866516878,0.0734189382859508
2014-05-17,978,0.149146812693632,0.22510450506541,0.0731074159104804
2014-05-18,979,0.146668988020661,0.220687144842425,0.0727760057319462
2014-05-19,980,0.144190795862514,0.216294403445428,0.0724237780800811
2014-05-20,981,0.141716991823922,0.211935714947392,0.0720497577551448
