"DATE","TIME","ABONDANCE","CI_up","CI_low"
2016-09-14,1709,4.42519155841001,5.03933675669896,3.76641746164571
2016-09-15,1710,4.42026086198525,4.95661431696544,3.85047874647781
2016-09-16,1711,4.41586066346279,4.95534379481285,3.85415346852274
2016-09-17,1712,4.41197878161129,4.95432151281205,3.85853760470318
2016-09-18,1713,4.40860284014465,4.95354178988526,3.86354189093407
2016-09-19,1714,4.40572038679435,4.95299943258913,3.86908740871294
2016-09-20,1715,4.40331899753754,4.95268906938063,3.87510437362182
2016-09-21,1716,4.40138636633166,4.95260474604272,3.88153076156776
2016-09-22,1717,4.39991038075926,4.95273967397281,3.88831088718071
2016-09-23,1718,4.39887918401052,4.9530860410949,3.89539400492299
2016-09-24,1719,4.39828122363013,4.95363481534414,3.90273297539523
2016-09-25,1720,4.39810528744012,4.95437549114967,3.91028302549686
2016-09-26,1721,4.39834052702543,4.95529574997115,3.91800062929286
2016-09-27,1722,4.3989764691426,4.95638102752665,3.92584254426066
2016-09-28,1723,4.40000301538967,4.95761400395511,3.93376505243681
2016-09-29,1724,4.40141043046312,4.9589740594853,3.94172347462004
2016-09-30,1725,4.40318931933114,4.92296450956879,3.98714430104316
2016-10-01,1726,4.40533059367587,4.92473687948651,3.99480087574505
2016-10-02,1727,4.40782542800513,4.92654506605569,4.00236000454159
2016-10-03,1728,4.41066520590957,4.9283518827632,4.00977719194857
2016-10-04,1729,4.41384145704557,4.93011721145569,4.01701141641019
2016-10-05,1730,4.4173457855598,4.9317994713359,4.02402773131005
2016-10-06,1731,4.42116979083515,4.93335769959259,4.03080019879936
2016-10-07,1732,4.42530498162934,4.9347541385049,4.03731482854455
2016-10-08,1733,4.4297426848901,4.93595710176947,4.04357209434421
2016-10-09,1734,4.43447395075949,4.9369437858704,4.04958856907388
2016-10-10,1735,4.43948945551343,4.93770263486659,4.05539728403149
2016-10-11,1736,4.4447794044111,4.93823488661554,4.06104658912326
2016-10-12,1737,4.45033343663914,4.93855503311478,4.06659753681809
2016-10-13,1738,4.45614053471112,4.93869009844227,4.07212007530333
2016-10-14,1739,4.46218894081118,4.93867783288372,4.07768854293538
2016-10-15,1740,4.46846608263325,4.93856409085811,4.08337705086599
2016-10-16,1741,4.4749585112527,4.93839976265647,4.08925530502518
2016-10-17,1742,4.48165185346188,4.93823764856292,4.09538527577626
2016-10-18,1743,4.48853078079702,4.93812960744785,4.10181892526906
2016-10-19,1744,4.49557899717902,4.93812420765537,4.10859700622165
2016-10-20,1745,4.50277924668461,4.93826498904877,4.11574879471821
2016-10-21,1746,4.51011334246837,4.93858933915253,4.12329253314963
2016-10-22,1747,4.51756221728267,4.93912790980039,4.13123633527013
2016-10-23,1748,4.5251059954142,4.93990445817251,4.13957932753288
2016-10-24,1749,4.53272408519832,4.94093598362329,4.14831284916707
2016-10-25,1750,4.54039529061518,4.94223304102445,4.15742159009163
2016-10-26,1751,4.54809793984782,4.94380013350325,4.16688459850185
2016-10-27,1752,4.55581002812209,4.94563611486893,4.1766761323718
2016-10-28,1753,4.56350937168182,4.94773455931086,4.18676635921723
2016-10-29,1754,4.57117376940389,4.950084079855,4.19712192705461
2016-10-30,1755,4.57878116834387,4.95266859596034,4.20770643867994
2016-10-31,1756,4.58630982943535,4.95546756401672,4.21848086361718
2016-11-01,1757,4.59373848964398,4.95845619254457,4.22940391960325
2016-11-02,1758,4.6010465170956,4.96160566717024,4.24043245013605
2016-11-03,1759,4.60821405604009,4.96488340976562,4.2515218178409
2016-11-04,1760,4.61522215895812,4.9682533924402,4.26262632626247
2016-11-05,1761,4.62205290364046,4.97167652136499,4.2736996759156
2016-11-06,1762,4.62868949363998,4.97511109868696,4.28469545453422
2016-11-07,1763,4.63511634108647,4.97851336397408,4.29556765674683
2016-11-08,1764,4.64131913143469,4.9818381104652,4.30627122500489
2016-11-09,1765,4.64728487026331,4.98503936641982,4.31676260146993
2016-11-10,1766,4.65300191273532,4.98807112835232,4.32700027957201
2016-11-11,1767,4.65845997675374,4.99088813092597,4.33694534383528
2016-11-12,1768,4.66365014119011,4.99344663759286,4.34656198702309
2016-11-13,1769,4.66856483082302,4.99570523635634,4.3558179943666
2016-11-14,1770,4.67319778979904,4.99762562587383,4.36468518532064
2016-11-15,1771,4.6775440455232,4.99917337806057,4.3731398037141
2016-11-16,1772,4.68159986490868,5.00031866399029,4.38116284719543
