"DATE","TIME","ABONDANCE","CI_up","CI_low"
2017-06-03,1971,7.99668916328232,8.20897160399883,7.79103977414483
2017-06-04,1972,7.9865687713652,8.20267429975791,7.77745081223408
2017-06-05,1973,7.97663285901567,8.19656239545331,7.76386851565429
2017-06-06,1974,7.96688549790118,8.19061997804349,7.7502957620378
2017-06-07,1975,7.9573307417466,8.18483746872692,7.73674044450227
2017-06-08,1976,7.94797264044101,8.17921311826425,7.72321655552093
2017-06-09,1977,7.93881525643372,8.17375408377142,7.709744855704
2017-06-10,1978,7.92986268330863,8.16847690882996,7.69635300101653
2017-06-11,1979,7.92111906637957,8.16340727980819,7.68307505424184
2017-06-12,1980,7.91258862510635,8.15857901245366,7.6699503796415
2017-06-13,1981,7.90427567709097,8.15403232208864,7.65702200204579
2017-06-14,1982,7.89618466337687,8.14981152932725,7.64433458697797
2017-06-15,1983,7.88832017473916,8.14596243028763,7.63193225069636
2017-06-16,1984,7.88068697862138,8.14252959903156,7.6198564267825
2017-06-17,1985,7.87329004634194,8.13955388296047,7.60814399600648
2017-06-18,1986,7.86613458016241,8.13707030307743,7.5968258347496
2017-06-19,1987,7.85922603977686,8.13510649398189,7.58592586732634
2017-06-20,1988,7.85257016774838,8.1336817316736,7.57546063489225
2017-06-21,1989,7.84617301338274,8.13280651841866,7.56543933217509
2017-06-22,1990,7.84004095449145,8.13248263562559,7.5558642219038
2017-06-23,1991,7.83418071645579,8.13270354335229,7.54673131831715
2017-06-24,1992,7.82859938796005,8.13345499762998,7.53803123309667
2017-06-25,1993,7.8233044327171,8.13471576875664,7.52975009387941
2017-06-26,1994,7.81830369646309,8.16106779123697,7.49726104707268
2017-06-27,1995,7.81360540845058,8.16364713122516,7.48937485796676
2017-06-28,1996,7.80921817662536,8.16663918454864,7.48184614796577
2017-06-29,1997,7.80515097562931,8.17000054921867,7.47465282363014
2017-06-30,1998,7.80141312673751,8.17368352882582,7.46777277457674
2017-07-01,1999,7.79801426881102,8.17763643987899,7.46118472456756
2017-07-02,2000,7.79496431933458,8.1818038890452,7.45486914166592
2017-07-03,2001,7.79227342461272,8.18612706625385,7.44880924019425
2017-07-04,2002,7.78995189822453,8.19054410756239,7.44299210033175
2017-07-05,2003,7.78801014689128,8.19499058978098,7.43740991940014
2017-07-06,2004,7.78645858299668,8.19940022773938,7.43206139169121
2017-07-07,2005,7.78530752312399,8.20370585440972,7.42695319030056
2017-07-08,2006,7.78456707214044,8.20784077210375,7.42210149408709
2017-07-09,2007,7.78424699257411,8.2117405658949,7.41753346540083
2017-07-10,2008,7.78435655929363,8.21534546201686,7.41328854083613
2017-07-11,2009,7.78490439982062,8.2186032853067,7.40941935163688
2017-07-12,2010,7.78589832097866,8.22147300983346,7.40599204965645
2017-07-13,2011,7.78734512300833,8.22392879507537,7.4030857901768
2017-07-14,2012,7.78925040275323,8.22596425092281,7.40079112911295
2017-07-15,2013,7.79161834803542,8.22759648546453,7.39920714476713
2017-07-16,2014,7.79445152588214,8.22886928810523,7.3984372049522
2017-07-17,2015,7.79775066782114,8.22985464190652,7.39858347002139
2017-07-18,2016,7.80151445600926,8.23065172089261,7.39974043566883
2017-07-19,2017,7.80573931447696,8.23138269139793,7.40198804227872
2017-07-20,2018,7.81041921022939,8.23218504919924,7.40538506202138
2017-07-21,2019,7.81554546931644,8.23320085873024,7.4099635697569
2017-07-22,2020,7.82110661323694,8.23456398985447,7.41572526923705
2017-07-23,2021,7.82708822114783,8.2363870628825,7.4226402658555
2017-07-24,2022,7.83347282327821,8.23875009354553,7.43064856615982
2017-07-25,2023,7.84023983068128,8.24169264116186,7.43966419015739
2017-07-26,2024,7.84736550597613,8.24521062768034,7.44958138037964
2017-07-27,2025,7.85482297903295,8.24925809576006,7.46028207003678
2017-07-28,2026,7.86258231064257,8.25375327967589,7.47164360841799
2017-07-29,2027,7.87061060610477,8.2585877163464,7.48354577369011
2017-07-30,2028,7.87887217939763,8.26363685209927,7.49587631581633
2017-07-31,2029,7.88732876719707,8.26877069006099,7.50853460101673
2017-08-01,2030,7.89593979055559,8.27386335707669,7.52143328585382
2017-08-02,2031,7.90466266058248,8.27880089763535,7.53449825307382
2017-08-03,2032,7.91345312306422,8.28348700072225,7.54766724219355
2017-08-04,2033,7.92226563568747,8.28784666385403,7.56088769113043
2017-08-05,2034,7.93105377044478,8.2918279803906,7.57411428539722
2017-08-06,2035,7.93977063296747,8.29540232038975,7.5873066185729
2017-08-07,2036,7.94836928998587,8.29856319428892,7.60042723547579
2017-08-08,2037,7.95680319589013,8.30132407295143,7.61344018719009
2017-08-09,2038,7.96502660946593,8.30371540787253,7.62631009707238
2017-08-10,2039,7.97299499230058,8.30578106208224,7.63900163372739
2017-08-11,2040,7.98066538106945,8.3075743288452,7.65147921857139
2017-08-12,2041,7.98799672688136,8.30915368202213,7.66370676435979
2017-08-13,2042,7.99495019603109,8.31057836972438,7.67564724515619
2017-08-14,2043,8.0014894278156,8.31190393468438,7.68726193324597
2017-08-15,2044,8.00758074645646,8.31317772604169,7.69850919892751
2017-08-16,2045,8.01319332556617,8.31443446495474,7.70934284955716
2017-08-17,2046,8.01829930494543,8.31569194739994,7.71971007994341
2017-08-18,2047,8.02287386074628,8.3169470163364,7.72954921254459
2017-08-19,2048,8.02689523114387,8.31817201220065,7.73878751667612
2017-08-20,2049,8.03034470059418,8.31931200843155,7.74733950059399
2017-08-21,2050,8.03320654650123,8.32028324073507,7.75510615149606
2017-08-22,2051,8.03546795266371,8.32097321721028,7.76197563055449
2017-08-23,2052,8.03711889422582,8.32124301342684,7.76782588136632
2017-08-24,2053,8.03815199902781,8.32093217030968,7.77252945040942
2017-08-25,2054,8.03856239025925,8.31986639003353,7.77596053189909
2017-08-26,2055,8.03834751518525,8.31786785909369,7.77800385340273
2017-08-27,2056,8.03750696446766,8.31476755527174,7.7785645743085
2017-08-28,2057,8.03604228626665,8.31041840530441,7.77757798259155
2017-08-29,2058,8.03395679890993,8.30470778177366,7.77501757291552
2017-08-30,2059,8.03125540547911,8.29756769447371,7.77090017365232
2017-08-31,2060,8.02794441320955,8.2889812299348,7.76528719067758
2017-09-01,2061,8.02403136014709,8.27898431813337,7.75828167787923
2017-09-02,2062,8.01952485106853,8.26766264818623,7.75002166581408
2017-09-03,2063,8.0144344042645,8.25514433136643,7.74067078719969
